Numero;Utenza;Fattura;Data;Valore (m³)
10358745;52643350;FT-2022-13197;31/03/2022;3433
10368477;82873142;FT-2023-12915;20/08/2023;3111
10374671;68166028;FT-2023-81397;04/03/2023;1957
10374757;55957640;;17/04/2023;1307
10378917;57598762;FT-2022-89131;19/08/2022;4654
10379823;43942104;FT-2025-31239;23/02/2025;1415
10380217;87403784;;03/10/2021;4558
10381213;75975954;FT-2024-00052;02/05/2024;1731
10395815;15493296;FT-2024-08450;24/12/2024;2157
10399262;44351751;FT-2026-56816;14/01/2026;3248
10400763;75663393;FT-2024-67367;18/01/2024;2932
10404635;85167486;FT-2025-58480;08/06/2025;3722
10404788;24415728;FT-2021-66108;12/07/2021;4683
10412135;51318118;FT-2021-71882;07/09/2021;773
10412508;81300025;FT-2024-55721;02/06/2024;2783
10418263;89323822;FT-2022-11089;06/09/2022;2792
10424578;23791805;;16/08/2024;4583
10425923;80062795;FT-2023-28499;13/10/2023;618
10430211;51908788;FT-2025-59460;23/05/2025;1391
10444408;30385407;FT-2020-12747;14/02/2020;283
10462239;25330706;FT-2025-03352;25/03/2025;2524
10462763;20406291;FT-2021-34134;14/04/2021;1733
10464656;16433226;FT-2023-59717;04/02/2023;4979
10465608;80284616;FT-2026-88672;13/03/2026;2942
10467314;58355054;FT-2022-03873;25/07/2022;4237
10474967;68684196;FT-2023-43201;27/03/2023;5091
10499390;14588679;FT-2022-93354;28/03/2022;2788
10501778;71273421;;27/09/2021;3326
10505404;24307536;FT-2025-63012;08/01/2025;541
10507662;94002730;FT-2021-34776;05/09/2021;1614
10512946;41081246;FT-2023-22776;19/09/2023;4791
10513162;36273506;FT-2020-10839;26/08/2020;1754
10517058;39493074;FT-2021-60132;29/07/2021;3116
10526033;41625265;FT-2023-56060;11/07/2023;645
10539846;15221711;;17/08/2023;572
10543340;29909700;FT-2023-67832;10/10/2023;3407
10543528;48736704;FT-2022-66316;08/04/2022;4057
10544173;44557999;FT-2022-38402;04/03/2022;4956
10545936;37672935;FT-2021-10505;10/07/2021;3335
10549743;70745553;FT-2023-71503;06/06/2023;5101
10555414;42609685;FT-2024-79299;08/11/2024;1062
10557413;77990069;FT-2025-03561;01/03/2025;427
10562009;28768316;FT-2021-01320;06/11/2021;1392
10562742;81038919;FT-2021-10416;12/06/2021;4024
10564728;70856411;;19/02/2021;4208
10570497;80155029;;01/09/2022;1530
10578207;63679120;FT-2025-14897;12/07/2025;4758
10581418;32910732;FT-2023-30399;25/03/2023;5095
10583198;71593998;;13/04/2022;1382
10595763;46534606;FT-2022-57885;14/06/2022;3553
10597265;69500260;FT-2021-30002;11/02/2021;3104
10602477;77699242;FT-2025-27117;24/02/2025;1036
10605464;12865383;FT-2024-65006;17/02/2024;3672
10608689;30481093;FT-2022-31999;10/10/2022;6098
10613366;70521026;FT-2021-31957;24/09/2021;2496
10617059;18146470;;14/09/2021;1606
10623751;82205397;FT-2020-64515;27/02/2020;2440
10648111;82846392;FT-2021-64186;11/08/2021;2660
10652307;99397204;FT-2026-37711;08/01/2026;1681
10655779;71273421;FT-2021-57566;09/06/2021;3231
10662661;33829657;FT-2025-83880;01/09/2025;1491
10664964;61918716;FT-2021-06293;04/11/2021;2238
10667622;64647548;FT-2023-36595;19/09/2023;2723
10669211;37701154;FT-2021-05439;24/03/2021;3220
10672953;95921268;FT-2023-90539;29/08/2023;2475
10674338;92893632;FT-2025-02410;06/03/2025;1323
10680310;16235466;FT-2022-88501;03/02/2022;5086
10684685;86581739;FT-2021-12886;01/10/2021;1540
10684880;54202248;FT-2022-43620;11/04/2022;4369
10685870;55005342;FT-2023-05956;03/08/2023;1208
10691644;55897148;;21/06/2021;4293
10725322;84984746;FT-2020-03192;19/04/2020;4351
10727321;55896268;FT-2022-41822;01/10/2022;1418
10732292;73203747;FT-2024-52370;06/07/2024;2915
10737874;17660464;FT-2021-50739;25/08/2021;707
10738408;42102916;FT-2021-68635;16/06/2021;3210
10743655;62488160;;04/05/2022;4815
10750455;41121795;;24/06/2023;4897
10753095;38986832;FT-2022-41741;09/02/2022;1526
10758898;89014754;FT-2025-90460;18/03/2025;5697
10759421;95628843;FT-2022-92721;09/01/2022;2560
10760303;17665344;FT-2024-49290;16/07/2024;429
10760552;69103002;FT-2021-99485;09/11/2021;3017
10761535;39516469;FT-2022-36512;20/08/2022;4671
10762516;18041756;FT-2024-33877;06/06/2024;1411
10763772;65780228;FT-2020-48803;28/04/2020;4139
10764770;52245641;FT-2021-60976;28/09/2021;3235
10767185;10167618;FT-2023-65085;22/03/2023;1770
10786851;17020426;FT-2023-03240;07/01/2023;4041
10800771;34491342;FT-2021-12950;25/08/2021;4855
10812031;85988759;FT-2022-61415;14/10/2022;2781
10818857;26826822;FT-2021-88365;18/11/2021;970
10819335;70385050;FT-2024-18463;01/06/2024;749
10819341;51302286;;28/08/2025;3843
10821421;65942298;FT-2021-78031;24/08/2021;3899
10830763;65795372;FT-2023-01701;30/04/2023;914
10837830;50640391;FT-2021-03059;20/09/2021;3946
10841149;72941937;FT-2024-70897;15/04/2024;3149
10848609;74497602;FT-2023-10930;21/03/2023;3224
10850177;64145564;FT-2025-51080;22/04/2025;4961
10850719;30562019;FT-2023-35651;30/01/2023;2574
10853300;51577129;FT-2022-09229;04/11/2022;2357
10854192;20471891;FT-2021-57064;20/11/2021;1205
10862114;57651186;FT-2022-18771;27/05/2022;5075
10868123;14231697;FT-2021-75452;08/11/2021;289
10873052;94997957;FT-2022-25192;29/06/2022;3479
10873732;56173574;FT-2023-40467;24/08/2023;3478
10875077;27208496;FT-2024-79312;05/04/2024;2499
10876649;51884216;FT-2023-36382;22/05/2023;2339
10877814;86764973;;29/08/2025;759
10891034;87449058;FT-2021-44477;23/05/2021;2672
10896773;94905366;FT-2024-76558;28/12/2024;3709
10904188;16433226;FT-2022-34549;31/12/2022;5029
10908191;24577584;FT-2025-58527;05/07/2025;758
10915670;13339977;FT-2021-79393;22/09/2021;4219
10917459;28680109;;15/04/2023;5057
10921811;61272670;FT-2025-71635;28/09/2025;4342
10922313;21100051;FT-2023-38691;20/10/2023;863
10931070;61181961;;01/07/2022;4057
10935749;51721562;FT-2022-87786;23/02/2022;1242
10936455;25959194;FT-2024-21264;17/08/2024;3209
10938088;62560489;;12/01/2022;1967
10938638;65628497;FT-2024-26865;16/03/2024;1282
10940720;31997856;FT-2024-65292;14/04/2024;1308
10942672;18942340;FT-2023-36784;27/05/2023;1196
10955241;48264609;FT-2021-85089;16/09/2021;1612
10955621;63458195;;26/12/2024;4619
10967695;96605986;;18/02/2025;2628
10984023;73466925;FT-2023-68920;20/07/2023;4235
10989119;33771843;FT-2021-85521;08/08/2021;5680
10992081;87293430;FT-2022-75475;04/03/2022;3078
10993901;16670151;FT-2023-46861;31/08/2023;1287
10995041;56654977;FT-2020-47758;12/12/2020;4653
10998034;39691422;FT-2021-04314;26/03/2021;1239
10998803;16098358;FT-2023-04268;14/07/2023;2159
11003186;84592541;;15/08/2022;1336
11015164;80423573;FT-2022-28991;28/03/2022;1004
11017186;87063242;FT-2023-60263;05/02/2023;2115
11019110;69657569;FT-2022-96014;02/05/2022;2463
11023434;49089413;FT-2021-68273;02/11/2021;745
11024675;60821486;;12/11/2021;2695
11034689;56167946;FT-2024-65847;30/12/2024;285
11037999;76073446;FT-2025-27794;11/09/2025;3640
11051833;42075605;;03/06/2023;4762
11053114;17154516;FT-2025-94492;02/11/2025;436
11053173;67927147;FT-2022-72347;29/01/2022;2531
11077061;49416674;FT-2020-11765;17/07/2020;1847
11080830;70304093;FT-2024-47978;12/01/2024;3051
11081769;96862748;FT-2023-20570;05/10/2023;4973
11084815;36456339;FT-2022-75462;31/03/2022;2157
11096747;26781277;FT-2025-68703;25/10/2025;3720
11104420;43312797;FT-2024-71411;30/01/2024;1392
11109989;70953962;FT-2021-04813;11/10/2021;4785
11110893;11680941;;21/04/2023;2418
11121086;76176620;FT-2023-29711;18/04/2023;3165
11122539;23422849;FT-2023-67104;25/01/2023;1681
11123378;52527505;FT-2024-63408;29/11/2024;3595
11128536;98782988;FT-2025-47916;27/06/2025;1650
11128859;69573541;FT-2021-80776;16/04/2021;3874
11134946;96801128;FT-2021-65241;29/07/2021;3177
11139785;74497602;;03/09/2024;3760
11141354;55655743;;03/06/2021;489
11143646;64983671;;02/04/2023;3197
11145524;43209673;;09/07/2021;2675
11146332;80140052;FT-2025-67198;04/05/2025;505
11151759;72365046;FT-2021-77440;07/11/2021;1725
11158270;34553815;FT-2021-16061;29/01/2021;693
11164696;82285825;FT-2026-82004;30/03/2026;2183
11167847;16409097;FT-2023-93816;09/05/2023;2153
11173775;34539313;;20/03/2022;3531
11178135;79332844;FT-2021-61445;29/10/2021;1497
11180655;79559227;FT-2025-34688;10/05/2025;659
11190881;75999497;FT-2022-43660;22/06/2022;935
11191866;11223414;FT-2023-29359;31/07/2023;5334
11194979;69639040;FT-2021-70534;23/11/2021;1412
11206872;58087017;FT-2020-63368;29/08/2020;1679
11212047;79000191;FT-2025-15780;17/04/2025;2017
11215980;10649340;;18/04/2023;4535
11219547;44911647;FT-2024-13575;07/09/2024;1908
11221433;62023589;;30/04/2022;3618
11222476;93317936;FT-2023-16964;10/09/2023;2704
11224134;54158331;FT-2022-27108;10/01/2022;4577
11224602;38632702;FT-2022-57483;18/07/2022;2432
11226229;67567667;FT-2020-60565;22/05/2020;1951
11229579;10734293;FT-2022-54929;19/06/2022;4428
11230274;28401184;FT-2024-18575;24/02/2024;3298
11242811;55985866;FT-2022-88065;18/11/2022;2984
11248064;25963781;FT-2023-19551;27/05/2023;2359
11256492;72829682;FT-2024-00513;02/01/2024;749
11258006;84758339;FT-2022-64655;15/11/2022;4910
11258861;87527071;FT-2022-15961;22/07/2022;2584
11261498;60230506;FT-2025-32070;05/03/2025;3090
11264875;21686114;FT-2024-12289;05/11/2024;1283
11265359;96785547;FT-2021-59921;19/09/2021;5818
11266792;73914183;FT-2024-37277;30/05/2024;4635
11272104;43302126;FT-2022-13195;09/02/2022;669
11285594;88660324;FT-2021-48455;02/10/2021;569
11286927;66213721;FT-2022-17244;28/08/2022;2849
11287018;89502097;FT-2021-20252;23/04/2021;5319
11287203;10307562;FT-2022-99585;16/11/2022;3849
11296038;72650622;FT-2022-37649;09/04/2022;1100
11298075;93755037;FT-2023-81110;23/12/2023;523
11318779;85199198;FT-2022-15604;25/03/2022;1944
11324964;31156781;FT-2023-89836;06/05/2023;3108
11328472;57594434;FT-2026-17085;02/02/2026;1594
11329631;57476950;FT-2020-25036;07/04/2020;2631
11334516;64646398;FT-2025-18874;20/01/2025;2814
11335325;32010912;FT-2022-71610;18/08/2022;4326
11336324;53440708;FT-2021-74675;27/03/2021;1436
11338031;10713204;FT-2024-36493;03/03/2024;3886
11345751;52597927;FT-2021-88078;25/09/2021;3255
11349481;67015430;FT-2023-94503;02/08/2023;3733
11351093;72056341;FT-2022-09591;21/06/2022;4862
11371629;96865629;FT-2022-13722;11/03/2022;4276
11371828;53888048;FT-2023-20359;22/11/2023;1291
11375495;42134952;FT-2022-85116;20/05/2022;4569
11378272;97214895;;16/08/2022;3527
11379622;77819456;FT-2024-53599;04/03/2024;4440
11379890;42737989;FT-2025-25894;05/04/2025;2825
11387784;67965628;FT-2020-57077;18/03/2020;464
11391798;43679608;FT-2022-84753;14/04/2022;1952
11392160;46675254;FT-2024-49540;18/07/2024;902
11396101;93430187;FT-2021-87562;08/12/2021;2843
11399288;72950767;FT-2021-17955;22/04/2021;4707
11400027;61331178;FT-2024-85240;12/12/2024;4525
11409674;14711671;FT-2021-44016;25/09/2021;3248
11409991;41752523;FT-2021-60419;01/10/2021;2433
11413611;44800226;FT-2023-73917;15/09/2023;917
11414742;72272847;FT-2024-72531;25/09/2024;5110
11416966;92754801;FT-2024-54708;25/02/2024;1970
11422121;82459715;FT-2024-23070;06/02/2024;1105
11422521;54424842;FT-2020-98290;25/07/2020;3080
11430452;17660464;;22/11/2021;774
11433609;69818284;FT-2022-62399;27/07/2022;526
11435846;11824225;FT-2023-41322;02/07/2023;709
11437057;21926890;FT-2021-18663;01/03/2021;4997
11437507;31055247;FT-2022-72355;26/11/2022;607
11444374;81355669;FT-2024-25839;14/11/2024;2665
11459271;37565208;;01/03/2023;4710
11463887;41839335;FT-2022-72733;01/07/2022;598
11468745;85842824;;22/05/2021;3250
11471381;63675777;FT-2025-92769;19/01/2025;2641
11472845;16862408;FT-2025-76181;01/05/2025;2850
11476369;23193592;FT-2022-12952;12/05/2022;3589
11477607;99625869;FT-2022-28202;09/12/2022;2178
11482417;66071487;FT-2024-42125;15/07/2024;1551
11485312;66103995;FT-2021-96195;20/08/2021;4137
11498216;57154379;FT-2022-08110;31/03/2022;3204
11498294;66523413;;04/04/2026;1381
11498692;93905306;FT-2025-98077;16/07/2025;4533
11512208;37386883;FT-2022-45222;20/11/2022;3053
11514115;11923315;FT-2022-69431;31/03/2022;5235
11525372;66103995;FT-2023-57386;14/02/2023;4993
11526754;95220720;FT-2022-48729;09/06/2022;4729
11526956;80350675;FT-2025-62102;23/03/2025;184
11530832;63675777;FT-2025-35613;03/07/2025;2908
11531450;91487696;FT-2023-06227;26/05/2023;3607
11536351;40103105;FT-2021-97332;12/01/2021;4403
11548530;56764281;;13/12/2021;4173
11574885;26229991;;13/02/2022;5360
11576276;85506179;;31/12/2021;1297
11583590;31531936;FT-2021-70211;15/09/2021;1602
11583907;67421884;FT-2022-10550;29/05/2022;889
11589633;25791150;FT-2021-82390;07/08/2021;2756
11592598;37047233;FT-2022-55569;21/11/2022;260
11597736;29236037;FT-2024-87541;16/09/2024;1648
11603155;96999386;FT-2025-03376;26/01/2025;2869
11614602;44324451;FT-2020-88965;02/02/2020;4255
11628469;92307008;FT-2021-88640;21/02/2021;3057
11643859;30388065;;27/07/2022;3209
11650326;78815590;FT-2023-16874;20/01/2023;4389
11655602;20306831;FT-2025-46522;07/04/2025;4874
11655720;20696374;;16/10/2022;5371
11660060;97531198;FT-2021-04899;24/08/2021;1915
11664160;14043333;FT-2024-59588;17/02/2024;751
11665777;21272836;FT-2021-28403;18/06/2021;858
11672359;27340242;;22/06/2024;1093
11674909;69023309;FT-2023-37853;23/09/2023;1628
11683847;57292774;FT-2022-59837;22/08/2022;1267
11686218;19984336;FT-2021-78071;25/05/2021;1226
11696700;43509025;FT-2023-85350;29/07/2023;5030
11706753;41563093;FT-2021-43096;27/09/2021;5909
11711112;35488214;FT-2022-17189;02/09/2022;3029
11712173;76706625;FT-2022-17354;04/08/2022;2635
11713371;52059868;FT-2024-46146;21/02/2024;4908
11715881;59383184;;04/03/2022;1208
11715934;37976178;FT-2022-50608;03/04/2022;3333
11721169;58152692;FT-2023-06100;20/12/2023;4898
11728007;90782878;FT-2021-10097;20/07/2021;4816
11728464;83711222;FT-2026-06294;26/04/2026;2499
11728651;79296568;;22/06/2024;2747
11731760;67015430;FT-2022-81983;25/11/2022;3341
11736743;82386410;FT-2020-15737;22/01/2020;2934
11744461;38981231;FT-2025-06233;11/09/2025;1047
11751812;61613696;;28/11/2025;4819
11753957;98626395;FT-2024-51867;12/08/2024;3471
11762766;77309532;FT-2024-68796;03/10/2024;4162
11775886;70158517;FT-2024-30681;01/02/2024;1309
11776239;36277674;FT-2025-18722;30/03/2025;3886
11778712;45023850;FT-2022-91195;20/08/2022;2254
11786117;29908213;;24/03/2022;807
11795538;87185360;FT-2022-73637;28/03/2022;2810
11798155;44307683;FT-2021-27735;11/12/2021;2511
11802375;67567667;FT-2020-79152;06/06/2020;1986
11816831;37463523;FT-2024-78243;13/03/2024;2732
11818301;13850360;FT-2023-94352;27/12/2023;4663
11824231;93754288;FT-2024-83906;07/01/2024;3409
11827411;92898122;;31/12/2023;1881
11836556;50858877;FT-2021-77261;13/05/2021;2030
11838944;75213835;FT-2021-15056;25/09/2021;2307
11843801;98843933;FT-2022-79232;29/12/2022;1963
11845106;35942328;FT-2023-88661;30/09/2023;496
11851892;87513877;FT-2021-90632;17/04/2021;3116
11859321;59940232;FT-2022-43845;26/07/2022;1010
11865036;19647429;FT-2022-90418;22/07/2022;1992
11871611;29950819;FT-2021-94980;25/01/2021;2016
11871971;58838425;FT-2022-54504;27/08/2022;2828
11876170;72203347;FT-2024-10121;29/02/2024;1279
11880709;47939859;FT-2023-09982;01/08/2023;4592
11888559;77146283;FT-2021-34942;15/08/2021;4346
11890051;21416009;FT-2022-70586;11/02/2022;4998
11890347;99509059;FT-2021-32210;17/08/2021;3293
11897233;16134956;FT-2023-57342;31/12/2023;1119
11900129;80734603;FT-2022-54498;23/10/2022;4748
11907331;11627629;FT-2022-91073;05/05/2022;1031
11908705;77896300;FT-2022-29278;10/09/2022;677
11917081;52451908;;26/01/2024;3253
11917716;59446657;FT-2022-22526;08/12/2022;1721
11918164;98623924;FT-2021-29064;31/12/2021;5332
11929392;91133973;FT-2024-28839;22/10/2024;1396
11951016;27817032;FT-2021-69827;18/05/2021;1713
11952062;18559256;FT-2021-54886;15/12/2021;2946
11952147;15614653;;07/04/2023;1470
11955338;65904610;;15/11/2020;2899
11978329;41780782;FT-2022-71076;01/03/2022;3311
11978828;24448896;FT-2024-15375;16/11/2024;1155
11979283;16168249;FT-2025-39560;11/04/2025;4668
11993406;11289348;FT-2022-65019;19/09/2022;3993
11995871;27661912;;15/11/2025;980
11998832;74229712;FT-2024-94667;29/03/2024;5015
11999827;50858877;FT-2021-78811;19/03/2021;1736
12000500;40085789;FT-2024-00393;23/03/2024;3394
12000607;31234764;FT-2022-50140;14/04/2022;2986
12007994;59081700;FT-2022-04244;25/05/2022;951
12013793;29797972;FT-2023-96768;03/03/2023;1608
12013870;23427557;FT-2024-72406;25/10/2024;4609
12018865;75021000;FT-2022-34879;06/04/2022;2688
12019212;59911877;;15/05/2022;3392
12022897;87580158;FT-2023-07033;09/11/2023;887
12023688;91636038;;22/07/2021;1499
12026470;96140578;FT-2024-96670;28/08/2024;3121
12028470;76790667;;31/05/2024;4743
12033057;94222231;;01/02/2021;4984
12047902;33023467;FT-2023-24992;31/05/2023;2488
12049439;29950819;FT-2020-13601;29/11/2020;1957
12053902;91715160;FT-2023-18444;04/04/2023;1897
12058767;92595269;FT-2024-65325;16/06/2024;2848
12058856;74967379;;15/02/2023;5162
12061716;73347272;FT-2025-09079;04/08/2025;704
12071042;61584826;;18/10/2024;5190
12077282;11193910;FT-2023-76468;28/03/2023;2394
12085482;30700159;FT-2023-64366;06/07/2023;862
12088430;56911708;FT-2025-81577;05/04/2025;2286
12091781;25812362;;26/01/2024;4380
12092771;69944769;FT-2026-77582;13/02/2026;4697
12108239;26392823;FT-2023-19495;14/08/2023;1804
12119503;48113863;FT-2022-90159;20/04/2022;2315
12133593;83865690;FT-2024-53573;05/05/2024;4234
12133683;90137683;FT-2024-18191;26/11/2024;1749
12153078;80867009;FT-2021-09734;24/06/2021;1645
12155232;58207271;;16/10/2022;4613
12157995;48815881;FT-2023-37607;21/07/2023;675
12173974;17020426;FT-2021-04434;23/12/2021;3411
12188377;74139537;FT-2024-16567;07/10/2024;4953
12189514;91372143;FT-2023-63972;11/02/2023;3910
12193384;70299140;FT-2025-37882;04/06/2025;4562
12216430;36154872;;18/10/2021;2769
12223223;84255136;;04/11/2021;1056
12230184;67399305;FT-2025-08639;03/01/2025;4878
12238960;42134952;;30/09/2021;4082
12242487;59931367;FT-2023-90545;26/12/2023;4070
12243261;64185899;FT-2022-76839;07/02/2022;3563
12255516;64558345;;14/03/2024;1431
12256858;83502080;FT-2023-81265;29/09/2023;3383
12260044;38326842;FT-2024-88284;04/02/2024;1457
12261297;32837742;FT-2025-03289;15/04/2025;1510
12265311;90365774;FT-2023-80495;30/11/2023;4720
12272450;12975997;FT-2023-09801;27/02/2023;2948
12279719;77990069;FT-2024-88039;02/12/2024;274
12280526;88660324;FT-2022-53805;25/07/2022;863
12283191;29561765;FT-2023-87931;27/10/2023;623
12286915;37034147;FT-2025-88332;15/06/2025;4318
12291069;66909275;FT-2024-81536;09/03/2024;4514
12297152;28227824;FT-2025-40843;19/12/2025;2667
12299115;35455005;FT-2023-49980;08/11/2023;4805
12315048;61295551;FT-2020-99881;29/12/2020;774
12317907;54258922;FT-2023-81371;15/01/2023;1817
12318341;20044364;FT-2023-11227;07/04/2023;3512
12321282;83973278;FT-2022-32332;20/10/2022;4905
12331490;39745493;FT-2020-28100;01/05/2020;4331
12337577;32527560;FT-2020-12791;07/04/2020;613
12344722;26658760;FT-2022-36818;03/05/2022;4100
12366773;55109109;FT-2021-43000;09/10/2021;2348
12371498;21804674;;09/11/2022;1826
12386253;84809573;FT-2023-76494;12/03/2023;5076
12387987;48113863;FT-2022-99541;27/07/2022;2418
12393414;70979785;FT-2024-79261;10/11/2024;3515
12396247;62560489;FT-2022-63713;26/01/2022;1922
12402980;21250231;FT-2024-55662;12/12/2024;319
12410113;49892313;FT-2021-52962;03/10/2021;3074
12411906;89065061;FT-2023-60334;09/01/2023;4803
12412386;10522918;FT-2023-13156;07/07/2023;3786
12418080;58626751;;06/07/2023;3666
12419608;82384979;FT-2022-24374;28/03/2022;5270
12423495;85541108;FT-2022-07474;06/11/2022;5246
12424590;10531260;FT-2024-96609;26/02/2024;786
12424753;93690303;FT-2023-10749;15/09/2023;486
12425963;16643158;FT-2020-66457;28/11/2020;4989
12427598;51270661;FT-2026-48649;24/04/2026;1086
12428135;94546731;FT-2022-33208;19/11/2022;2492
12444049;88446834;;28/07/2022;4444
12444556;50581519;FT-2022-35675;12/11/2022;552
12463659;54544608;FT-2023-07651;27/03/2023;2025
12466101;49719126;FT-2022-69824;13/06/2022;1934
12474662;68771555;FT-2022-05120;22/03/2022;2792
12479512;67039342;FT-2025-76956;09/07/2025;2603
12480301;13120735;FT-2024-32128;12/10/2024;2346
12489537;50703666;;12/06/2024;4880
12502188;62658728;FT-2021-98301;07/12/2021;3037
12504476;62893891;;20/04/2021;3083
12504578;11692364;FT-2024-69009;22/02/2024;1241
12507818;98655009;FT-2021-03117;12/05/2021;425
12511727;91476212;FT-2022-93159;14/06/2022;3839
12511740;83030644;FT-2022-89046;26/02/2022;1353
12518998;44670656;FT-2021-27624;01/12/2021;3776
12520403;84022346;FT-2020-52789;27/12/2020;4610
12523822;42265278;FT-2022-17750;26/01/2022;806
12529956;34418328;FT-2021-33898;25/07/2021;2450
12542112;39084896;FT-2023-90280;15/10/2023;2914
12544920;41780782;FT-2022-06797;05/05/2022;3409
12551152;47979007;;15/04/2023;6055
12552400;90937616;FT-2024-24475;26/03/2024;4589
12552971;69982267;FT-2022-08232;24/10/2022;3435
12552990;72632732;;29/11/2023;3338
12564440;91377028;FT-2024-91406;18/04/2024;374
12566205;95389097;FT-2023-78229;01/02/2023;699
12586673;10415893;FT-2022-98510;09/08/2022;3825
12588279;42519901;;29/10/2021;4310
12596836;88982604;FT-2023-27141;03/03/2023;3527
12599287;31269748;FT-2024-35276;11/05/2024;1435
12602201;58463122;;28/04/2023;2872
12609566;43312797;FT-2024-80550;03/02/2024;1500
12611779;39959001;FT-2021-14309;06/05/2021;1619
12613707;62406221;FT-2024-30033;01/05/2024;4978
12615632;11289348;FT-2022-35360;07/09/2022;4000
12622267;46947493;FT-2024-01654;14/06/2024;2446
12623904;69103002;FT-2021-95789;01/06/2021;2815
12631073;38246854;FT-2021-16042;24/11/2021;5012
12632445;65795372;FT-2022-19524;14/11/2022;838
12648002;27635064;FT-2022-99916;03/11/2022;5212
12656741;67905072;FT-2023-44065;27/07/2023;858
12658902;74320317;FT-2023-32934;04/06/2023;5034
12664679;67525637;FT-2023-51738;02/10/2023;3759
12667572;61295551;FT-2021-72154;27/05/2021;942
12692912;60821486;FT-2021-48104;07/08/2021;2553
12693543;57436713;FT-2024-68034;20/10/2024;2403
12699230;15390649;FT-2022-70086;17/05/2022;2915
12699585;80285162;;14/12/2022;1093
12702369;59328980;FT-2022-72067;03/03/2022;3848
12704370;21987561;FT-2025-41378;03/06/2025;5064
12705107;11042797;FT-2023-63626;17/12/2023;4556
12714653;72365046;FT-2020-70141;04/08/2020;869
12716770;71298897;FT-2022-12840;24/12/2022;1838
