NUMERO;DATA;IMPONIBILE;IVA;TOTALE
FT-2020-02661;27/08/2020;3348.38;736.64;4085.02
FT-2020-02669;10/04/2020;7606.39;1673.41;9279.80
FT-2020-02773;22/08/2020;3411.66;750.57;4162.23
FT-2020-02798;02/11/2020;2457.04;540.55;2997.59
FT-2020-02817;06/10/2020;9779.51;2151.49;11931.00
FT-2020-02943;06/06/2020;6086.92;1339.12;7426.04
FT-2020-03062;03/12/2020;7680.75;1689.77;9370.52
FT-2020-03087;12/08/2020;10618.67;2336.11;12954.78
FT-2020-03192;21/04/2020;10869.74;2391.34;13261.08
FT-2020-03241;14/03/2020;2029.39;446.47;2475.86
FT-2020-03324;03/03/2020;2273.83;500.24;2774.07
FT-2020-03326;28/06/2020;4430.31;974.67;5404.98
FT-2020-03357;22/07/2020;2211.04;486.43;2697.47
FT-2020-03573;09/08/2020;621.53;136.74;758.27
FT-2020-03594;01/09/2020;772.91;170.04;942.95
FT-2020-03618;17/08/2020;7960.90;1751.40;9712.30
FT-2020-03626;29/09/2020;3453.34;759.73;4213.07
FT-2020-03686;23/09/2020;13775.71;3030.66;16806.37
FT-2020-03736;04/09/2020;11014.14;2423.11;13437.25
FT-2020-03829;11/08/2020;10656.64;2344.46;13001.10
FT-2020-03986;01/10/2020;2626.64;577.86;3204.50
FT-2020-04164;03/07/2020;4108.16;903.80;5011.96
FT-2020-04301;18/09/2020;9847.70;2166.49;12014.19
FT-2020-04403;22/11/2020;6732.10;1481.06;8213.16
FT-2020-04532;02/08/2020;2376.72;522.88;2899.60
FT-2020-04534;25/11/2020;3826.04;841.73;4667.77
FT-2020-04609;29/07/2020;8394.73;1846.84;10241.57
FT-2020-04644;15/07/2020;8051.32;1771.29;9822.61
FT-2020-04784;23/08/2020;3548.86;780.75;4329.61
FT-2020-04833;19/10/2020;6729.57;1480.51;8210.08
FT-2020-05020;28/12/2020;7284.39;1602.57;8886.96
FT-2020-05136;14/12/2020;3222.02;708.84;3930.86
FT-2020-05149;01/01/2021;7090.21;1559.85;8650.06
FT-2020-05204;01/07/2020;11854.91;2608.08;14462.99
FT-2020-05226;17/12/2020;5186.84;1141.10;6327.94
FT-2020-05269;01/01/2021;11384.97;2504.69;13889.66
FT-2020-05321;01/09/2020;4998.38;1099.64;6098.02
FT-2020-05402;05/09/2020;990.35;217.88;1208.23
FT-2020-05451;16/05/2020;11222.80;2469.02;13691.82
FT-2020-05467;11/12/2020;11478.45;2525.26;14003.71
FT-2020-05550;08/10/2020;2937.58;646.27;3583.85
FT-2020-05892;02/05/2020;1232.72;271.20;1503.92
FT-2020-05959;25/07/2020;4728.91;1040.36;5769.27
FT-2020-05973;26/10/2020;6678.89;1469.36;8148.25
FT-2020-06050;01/01/2021;7348.64;1616.70;8965.34
FT-2020-06065;14/05/2020;14606.62;3213.46;17820.08
FT-2020-06112;02/08/2020;6214.09;1367.10;7581.19
FT-2020-06157;06/11/2020;4032.15;887.07;4919.22
FT-2020-06217;20/10/2020;5106.62;1123.46;6230.08
FT-2020-06242;04/11/2020;4249.76;934.95;5184.71
FT-2020-06482;22/12/2020;4402.45;968.54;5370.99
FT-2020-06534;02/08/2020;7959.24;1751.03;9710.27
FT-2020-06551;21/07/2020;8667.84;1906.92;10574.76
FT-2020-06767;28/04/2020;2722.68;598.99;3321.67
FT-2020-06805;24/07/2020;11586.94;2549.13;14136.07
FT-2020-06882;26/09/2020;11946.18;2628.16;14574.34
FT-2020-06912;05/12/2020;15416.52;3391.63;18808.15
FT-2020-06915;02/10/2020;11994.78;2638.85;14633.63
FT-2020-07008;19/08/2020;5955.57;1310.23;7265.80
FT-2020-07101;27/10/2020;7694.70;1692.83;9387.53
FT-2020-07145;22/03/2020;7208.47;1585.86;8794.33
FT-2020-07192;30/04/2020;4516.06;993.53;5509.59
FT-2020-07208;07/12/2020;4203.63;924.80;5128.43
FT-2020-07342;11/06/2020;3214.78;707.25;3922.03
FT-2020-07386;03/08/2020;2117.41;465.83;2583.24
FT-2020-07423;31/10/2020;6254.15;1375.91;7630.06
FT-2020-07431;16/12/2020;7711.96;1696.63;9408.59
FT-2020-07465;21/12/2020;2178.88;479.35;2658.23
FT-2020-07624;25/11/2020;13285.35;2922.78;16208.13
FT-2020-07771;31/08/2020;4113.53;904.98;5018.51
FT-2020-07866;20/07/2020;11694.62;2572.82;14267.44
FT-2020-07911;05/08/2020;2294.87;504.87;2799.74
FT-2020-08093;02/01/2021;8294.67;1824.83;10119.50
FT-2020-08276;03/03/2020;7003.65;1540.80;8544.45
FT-2020-08306;15/04/2020;3477.10;764.96;4242.06
FT-2020-08365;14/06/2020;8064.08;1774.10;9838.18
FT-2020-08385;04/11/2020;15488.80;3407.54;18896.34
FT-2020-08581;30/11/2020;8481.99;1866.04;10348.03
FT-2020-08691;14/11/2020;9029.03;1986.39;11015.42
FT-2020-08695;27/07/2020;2602.40;572.53;3174.93
FT-2020-08736;17/12/2020;5513.14;1212.89;6726.03
FT-2020-08849;10/09/2020;1625.66;357.65;1983.31
FT-2020-09023;24/06/2020;12646.98;2782.34;15429.32
FT-2020-09064;28/11/2020;4803.73;1056.82;5860.55
FT-2020-09258;07/09/2020;4685.00;1030.70;5715.70
FT-2020-09283;09/07/2020;2303.44;506.76;2810.20
FT-2020-09423;19/12/2020;10164.01;2236.08;12400.09
FT-2020-09477;20/09/2020;9072.17;1995.88;11068.05
FT-2020-09510;13/09/2020;954.94;210.09;1165.03
FT-2020-09513;13/11/2020;3095.25;680.96;3776.21
FT-2020-09652;19/11/2020;9618.19;2116.00;11734.19
FT-2020-09679;15/09/2020;5768.55;1269.08;7037.63
FT-2020-09875;24/03/2020;1390.13;305.83;1695.96
FT-2020-09916;08/12/2020;7799.48;1715.89;9515.37
FT-2020-10017;10/10/2020;9078.93;1997.36;11076.29
FT-2020-10047;13/12/2020;8054.23;1771.93;9826.16
FT-2020-10244;06/06/2020;2394.31;526.75;2921.06
FT-2020-10281;12/12/2020;5235.09;1151.72;6386.81
FT-2020-10370;15/09/2020;8949.10;1968.80;10917.90
FT-2020-10430;13/03/2020;1847.64;406.48;2254.12
FT-2020-10482;09/09/2020;5734.83;1261.66;6996.49
FT-2020-10506;13/09/2020;4855.63;1068.24;5923.87
FT-2020-10539;17/04/2020;4689.69;1031.73;5721.42
FT-2020-10612;21/11/2020;8200.39;1804.09;10004.48
FT-2020-10732;04/03/2020;6901.00;1518.22;8419.22
FT-2020-10786;27/10/2020;2342.72;515.40;2858.12
FT-2020-10839;05/09/2020;4883.51;1074.37;5957.88
FT-2020-10877;26/06/2020;1851.49;407.33;2258.82
FT-2020-10952;03/08/2020;11324.93;2491.48;13816.41
FT-2020-10954;06/09/2020;3570.53;785.52;4356.05
FT-2020-11019;09/12/2020;7434.77;1635.65;9070.42
FT-2020-11023;01/08/2020;4217.38;927.82;5145.20
FT-2020-11124;24/05/2020;3872.29;851.90;4724.19
FT-2020-11202;08/12/2020;10900.87;2398.19;13299.06
FT-2020-11247;02/11/2020;12135.55;2669.82;14805.37
FT-2020-11299;15/12/2020;469.46;103.28;572.74
FT-2020-11467;30/05/2020;11648.52;2562.67;14211.19
FT-2020-11571;21/10/2020;7432.70;1635.19;9067.89
FT-2020-11578;09/11/2020;12414.28;2731.14;15145.42
FT-2020-11589;01/06/2020;6209.74;1366.14;7575.88
FT-2020-11648;28/12/2020;12479.88;2745.57;15225.45
FT-2020-11669;06/05/2020;13687.97;3011.35;16699.32
FT-2020-11765;25/07/2020;4799.53;1055.90;5855.43
FT-2020-11797;05/04/2020;4980.15;1095.63;6075.78
FT-2020-11858;30/10/2020;4306.64;947.46;5254.10
FT-2020-11900;22/12/2020;1197.08;263.36;1460.44
FT-2020-11915;13/08/2020;11401.88;2508.41;13910.29
FT-2020-11919;23/10/2020;2335.73;513.86;2849.59
FT-2020-12003;08/08/2020;5934.63;1305.62;7240.25
FT-2020-12065;29/11/2020;6089.27;1339.64;7428.91
FT-2020-12097;19/05/2020;9483.87;2086.45;11570.32
FT-2020-12165;15/11/2020;4222.36;928.92;5151.28
FT-2020-12202;16/11/2020;2047.98;450.56;2498.54
FT-2020-12302;03/07/2020;2511.92;552.62;3064.54
FT-2020-12376;26/09/2020;12143.88;2671.65;14815.53
FT-2020-12414;12/12/2020;8660.55;1905.32;10565.87
FT-2020-12486;30/10/2020;12328.15;2712.19;15040.34
FT-2020-12589;06/06/2020;1661.74;365.58;2027.32
FT-2020-12747;15/02/2020;634.19;139.52;773.71
FT-2020-12786;17/12/2020;12833.12;2823.29;15656.41
FT-2020-12791;10/04/2020;1672.05;367.85;2039.90
FT-2020-12829;11/12/2020;10798.76;2375.73;13174.49
FT-2020-13140;26/07/2020;3613.28;794.92;4408.20
FT-2020-13396;22/12/2020;5820.10;1280.42;7100.52
FT-2020-13462;11/12/2020;5623.63;1237.20;6860.83
FT-2020-13520;28/02/2020;5653.06;1243.67;6896.73
FT-2020-13601;03/12/2020;4242.62;933.38;5176.00
FT-2020-13618;18/10/2020;2079.36;457.46;2536.82
FT-2020-13720;09/09/2020;770.54;169.52;940.06
FT-2020-13746;27/05/2020;7586.12;1668.95;9255.07
FT-2020-14001;17/11/2020;1806.19;397.36;2203.55
FT-2020-14018;25/12/2020;4515.90;993.50;5509.40
FT-2020-14046;20/11/2020;2790.59;613.93;3404.52
FT-2020-14062;22/12/2020;3172.36;697.92;3870.28
FT-2020-14259;27/09/2020;9350.65;2057.14;11407.79
FT-2020-14302;30/05/2020;10749.74;2364.94;13114.68
FT-2020-14379;05/07/2020;4700.42;1034.09;5734.51
FT-2020-14431;03/10/2020;10512.72;2312.80;12825.52
FT-2020-14446;15/12/2020;9826.92;2161.92;11988.84
FT-2020-14837;27/07/2020;1443.41;317.55;1760.96
FT-2020-14881;01/11/2020;4235.42;931.79;5167.21
FT-2020-14939;21/09/2020;10487.73;2307.30;12795.03
FT-2020-14941;15/05/2020;3832.26;843.10;4675.36
FT-2020-15055;31/12/2020;6676.03;1468.73;8144.76
FT-2020-15234;01/12/2020;12183.43;2680.35;14863.78
FT-2020-15307;04/12/2020;8140.02;1790.80;9930.82
FT-2020-15526;31/12/2020;11251.60;2475.35;13726.95
FT-2020-15579;15/12/2020;773.50;170.17;943.67
FT-2020-15581;13/04/2020;4657.37;1024.62;5681.99
FT-2020-15693;06/08/2020;2506.78;551.49;3058.27
FT-2020-15737;30/01/2020;6325.64;1391.64;7717.28
FT-2020-16031;02/04/2020;3527.21;775.99;4303.20
FT-2020-16096;26/07/2020;5966.59;1312.65;7279.24
FT-2020-16143;29/08/2020;3624.95;797.49;4422.44
FT-2020-16485;30/05/2020;2427.65;534.08;2961.73
FT-2020-16501;02/06/2020;721.19;158.66;879.85
FT-2020-16533;18/10/2020;6887.19;1515.18;8402.37
FT-2020-16664;29/11/2020;15640.95;3441.01;19081.96
FT-2020-16719;18/07/2020;8578.53;1887.28;10465.81
FT-2020-16803;09/09/2020;6213.54;1366.98;7580.52
FT-2020-16906;21/08/2020;5215.27;1147.36;6362.63
FT-2020-17054;29/12/2020;2240.49;492.91;2733.40
FT-2020-17111;01/07/2020;10952.49;2409.55;13362.04
FT-2020-17206;13/10/2020;1272.11;279.86;1551.97
FT-2020-17225;31/10/2020;6211.01;1366.42;7577.43
FT-2020-17456;12/06/2020;7778.67;1711.31;9489.98
FT-2020-17546;16/11/2020;9519.17;2094.22;11613.39
FT-2020-17597;12/10/2020;3535.34;777.77;4313.11
FT-2020-17616;17/10/2020;4690.91;1032.00;5722.91
FT-2020-17687;30/09/2020;4174.83;918.46;5093.29
FT-2020-17815;04/01/2021;3060.70;673.35;3734.05
FT-2020-17839;27/12/2020;12125.56;2667.62;14793.18
FT-2020-17851;19/10/2020;10597.30;2331.41;12928.71
FT-2020-18077;31/10/2020;2434.66;535.63;2970.29
FT-2020-18120;20/05/2020;4172.51;917.95;5090.46
FT-2020-18153;06/10/2020;2626.55;577.84;3204.39
FT-2020-18161;24/07/2020;8484.11;1866.50;10350.61
FT-2020-18228;29/07/2020;717.14;157.77;874.91
FT-2020-18297;17/05/2020;6026.99;1325.94;7352.93
FT-2020-18339;02/09/2020;6829.33;1502.45;8331.78
FT-2020-18351;11/04/2020;11378.06;2503.17;13881.23
FT-2020-18431;12/10/2020;3880.62;853.74;4734.36
FT-2020-18519;08/10/2020;2814.02;619.08;3433.10
FT-2020-18541;15/05/2020;5418.01;1191.96;6609.97
FT-2020-18543;08/04/2020;9311.38;2048.50;11359.88
FT-2020-18555;25/09/2020;2458.16;540.80;2998.96
FT-2020-18570;17/06/2020;1168.32;257.03;1425.35
FT-2020-18581;22/10/2020;10430.52;2294.71;12725.23
FT-2020-18643;13/08/2020;8035.23;1767.75;9802.98
FT-2020-18841;14/11/2020;2435.89;535.90;2971.79
FT-2020-18965;01/07/2020;13358.82;2938.94;16297.76
FT-2020-19005;02/05/2020;647.79;142.51;790.30
FT-2020-19092;10/12/2020;4474.54;984.40;5458.94
FT-2020-19202;14/08/2020;4226.82;929.90;5156.72
FT-2020-19208;12/08/2020;7449.21;1638.83;9088.04
FT-2020-19224;01/12/2020;5017.93;1103.94;6121.87
FT-2020-19318;30/03/2020;9631.46;2118.92;11750.38
FT-2020-19356;19/09/2020;10321.32;2270.69;12592.01
FT-2020-19692;26/10/2020;5014.34;1103.15;6117.49
FT-2020-19823;05/02/2020;5735.86;1261.89;6997.75
FT-2020-19940;04/02/2020;601.01;132.22;733.23
FT-2020-20000;02/12/2020;12706.10;2795.34;15501.44
FT-2020-20117;23/09/2020;1136.92;250.12;1387.04
FT-2020-20249;01/10/2020;3490.27;767.86;4258.13
FT-2020-20306;13/12/2020;6610.68;1454.35;8065.03
FT-2020-20332;19/12/2020;1065.99;234.52;1300.51
FT-2020-20570;13/10/2020;5153.12;1133.69;6286.81
FT-2020-20615;02/12/2020;15689.99;3451.80;19141.79
FT-2020-20616;02/04/2020;6345.71;1396.06;7741.77
FT-2020-20664;16/07/2020;1734.68;381.63;2116.31
FT-2020-21047;20/07/2020;2868.23;631.01;3499.24
FT-2020-21112;03/11/2020;12686.85;2791.11;15477.96
FT-2020-21243;23/04/2020;6056.36;1332.40;7388.76
FT-2020-21347;05/09/2020;9593.68;2110.61;11704.29
FT-2020-21379;24/11/2020;2929.47;644.48;3573.95
FT-2020-21433;26/12/2020;6058.74;1332.92;7391.66
FT-2020-21502;26/07/2020;4584.95;1008.69;5593.64
FT-2020-21586;31/12/2020;5075.04;1116.51;6191.55
FT-2020-21609;29/05/2020;10812.24;2378.69;13190.93
FT-2020-21785;30/08/2020;6636.59;1460.05;8096.64
FT-2020-21977;24/10/2020;1190.44;261.90;1452.34
FT-2020-21990;30/11/2020;9066.44;1994.62;11061.06
FT-2020-22032;20/06/2020;1363.65;300.00;1663.65
FT-2020-22068;04/09/2020;6413.76;1411.03;7824.79
FT-2020-22131;20/08/2020;2797.51;615.45;3412.96
FT-2020-22341;29/08/2020;1829.70;402.53;2232.23
FT-2020-22463;21/06/2020;7769.12;1709.21;9478.33
FT-2020-22492;10/01/2021;7142.44;1571.34;8713.78
FT-2020-22513;06/12/2020;6501.08;1430.24;7931.32
FT-2020-22569;03/11/2020;2374.27;522.34;2896.61
FT-2020-22596;13/07/2020;7744.56;1703.80;9448.36
FT-2020-22636;10/09/2020;4856.99;1068.54;5925.53
FT-2020-22717;19/11/2020;3719.88;818.37;4538.25
FT-2020-22805;25/08/2020;10698.35;2353.64;13051.99
FT-2020-22819;07/11/2020;4219.82;928.36;5148.18
FT-2020-22841;26/04/2020;2102.87;462.63;2565.50
FT-2020-22844;21/08/2020;6039.04;1328.59;7367.63
FT-2020-23016;02/06/2020;781.12;171.85;952.97
FT-2020-23207;10/10/2020;3327.73;732.10;4059.83
FT-2020-23276;05/06/2020;4757.73;1046.70;5804.43
FT-2020-23506;04/11/2020;9141.84;2011.20;11153.04
FT-2020-23611;28/05/2020;931.79;204.99;1136.78
FT-2020-23675;05/12/2020;12772.07;2809.86;15581.93
FT-2020-23702;12/10/2020;5116.87;1125.71;6242.58
FT-2020-23756;25/12/2020;9586.41;2109.01;11695.42
FT-2020-23909;27/07/2020;13553.44;2981.76;16535.20
FT-2020-23931;02/06/2020;5033.55;1107.38;6140.93
FT-2020-23941;23/08/2020;747.83;164.52;912.35
FT-2020-24032;07/08/2020;505.49;111.21;616.70
FT-2020-24109;15/09/2020;10354.38;2277.96;12632.34
FT-2020-24153;30/12/2020;9600.03;2112.01;11712.04
FT-2020-24217;31/10/2020;11197.93;2463.54;13661.47
FT-2020-24275;24/07/2020;5271.26;1159.68;6430.94
FT-2020-24335;17/06/2020;2334.84;513.66;2848.50
FT-2020-24452;11/10/2020;509.18;112.02;621.20
FT-2020-24503;13/05/2020;11424.01;2513.28;13937.29
FT-2020-24744;20/05/2020;7247.23;1594.39;8841.62
FT-2020-24781;08/12/2020;1569.98;345.40;1915.38
FT-2020-24843;09/11/2020;9751.50;2145.33;11896.83
FT-2020-24952;14/12/2020;4266.14;938.55;5204.69
FT-2020-24972;06/11/2020;1433.24;315.31;1748.55
FT-2020-25016;30/09/2020;2720.80;598.58;3319.38
FT-2020-25036;16/04/2020;3829.67;842.53;4672.20
FT-2020-25068;06/08/2020;1153.85;253.85;1407.70
FT-2020-25111;28/11/2020;9912.91;2180.84;12093.75
FT-2020-25129;21/07/2020;2446.56;538.24;2984.80
FT-2020-25189;17/11/2020;3594.42;790.77;4385.19
FT-2020-25199;07/07/2020;4598.20;1011.60;5609.80
FT-2020-25224;13/07/2020;2979.03;655.39;3634.42
FT-2020-25369;12/12/2020;11347.82;2496.52;13844.34
FT-2020-25400;26/12/2020;4371.83;961.80;5333.63
FT-2020-25403;07/01/2021;914.38;201.16;1115.54
FT-2020-25446;20/11/2020;10312.89;2268.84;12581.73
FT-2020-25450;14/05/2020;8141.29;1791.08;9932.37
FT-2020-25454;08/10/2020;996.72;219.28;1216.00
FT-2020-25567;01/10/2020;8804.08;1936.90;10740.98
FT-2020-25627;20/10/2020;4658.11;1024.78;5682.89
FT-2020-25651;10/12/2020;6737.51;1482.25;8219.76
FT-2020-25688;25/10/2020;3202.34;704.51;3906.85
FT-2020-25701;10/12/2020;8104.40;1782.97;9887.37
FT-2020-25773;26/05/2020;12354.22;2717.93;15072.15
FT-2020-25782;19/09/2020;4586.15;1008.95;5595.10
FT-2020-25866;07/07/2020;8600.85;1892.19;10493.04
FT-2020-25911;25/02/2020;10446.02;2298.12;12744.14
FT-2020-25947;28/08/2020;9726.67;2139.87;11866.54
FT-2020-26010;08/11/2020;2163.25;475.92;2639.17
FT-2020-26250;11/10/2020;17592.68;3870.39;21463.07
FT-2020-26252;04/12/2020;6087.33;1339.21;7426.54
FT-2020-26540;08/12/2020;4750.52;1045.11;5795.63
FT-2020-26566;23/07/2020;2620.43;576.49;3196.92
FT-2020-26589;29/05/2020;6171.14;1357.65;7528.79
FT-2020-26597;11/05/2020;1281.35;281.90;1563.25
FT-2020-26661;04/05/2020;9766.05;2148.53;11914.58
FT-2020-26670;02/11/2020;14157.56;3114.66;17272.22
FT-2020-26677;25/05/2020;4473.23;984.11;5457.34
FT-2020-26693;07/01/2021;6547.89;1440.54;7988.43
FT-2020-26781;14/05/2020;4041.56;889.14;4930.70
FT-2020-27013;09/07/2020;5363.65;1180.00;6543.65
FT-2020-27121;01/01/2021;2163.50;475.97;2639.47
FT-2020-27137;02/01/2021;860.80;189.38;1050.18
FT-2020-27188;31/12/2020;11585.88;2548.89;14134.77
FT-2020-27219;13/10/2020;11311.73;2488.58;13800.31
FT-2020-27335;15/04/2020;1995.13;438.93;2434.06
FT-2020-27391;12/08/2020;6804.83;1497.06;8301.89
FT-2020-27403;01/09/2020;10853.02;2387.66;13240.68
FT-2020-27680;07/01/2021;7410.60;1630.33;9040.93
FT-2020-27684;24/12/2020;5431.77;1194.99;6626.76
FT-2020-27816;15/07/2020;4778.19;1051.20;5829.39
FT-2020-27882;20/07/2020;3053.50;671.77;3725.27
FT-2020-27918;04/03/2020;1136.83;250.10;1386.93
FT-2020-27968;25/10/2020;1202.22;264.49;1466.71
FT-2020-27986;30/09/2020;2092.40;460.33;2552.73
FT-2020-28014;01/09/2020;11498.33;2529.63;14027.96
FT-2020-28100;09/05/2020;7972.11;1753.86;9725.97
FT-2020-28110;13/11/2020;511.40;112.51;623.91
FT-2020-28217;30/07/2020;1281.28;281.88;1563.16
FT-2020-28438;07/09/2020;10206.01;2245.32;12451.33
FT-2020-28462;13/10/2020;8521.65;1874.76;10396.41
FT-2020-28561;15/11/2020;4081.97;898.03;4980.00
FT-2020-28568;20/04/2020;4075.66;896.65;4972.31
FT-2020-28592;03/07/2020;12121.95;2666.83;14788.78
FT-2020-28713;28/11/2020;2248.54;494.68;2743.22
FT-2020-28759;06/12/2020;3055.62;672.24;3727.86
FT-2020-28777;13/10/2020;4426.97;973.93;5400.90
FT-2020-28852;21/06/2020;1182.03;260.05;1442.08
FT-2020-28930;22/07/2020;3545.73;780.06;4325.79
FT-2020-28978;26/12/2020;14080.74;3097.76;17178.50
FT-2020-29012;26/08/2020;5480.75;1205.77;6686.52
FT-2020-29121;05/04/2020;1751.64;385.36;2137.00
FT-2020-29332;28/11/2020;6260.19;1377.24;7637.43
FT-2020-29365;07/11/2020;6287.61;1383.27;7670.88
FT-2020-29404;10/12/2020;3122.75;687.00;3809.75
FT-2020-29696;27/06/2020;3475.43;764.59;4240.02
FT-2020-29776;13/08/2020;10443.38;2297.54;12740.92
FT-2020-29779;09/09/2020;2442.21;537.29;2979.50
FT-2020-29839;19/08/2020;3292.82;724.42;4017.24
FT-2020-29981;15/12/2020;4835.38;1063.78;5899.16
FT-2020-30104;21/10/2020;6086.29;1338.98;7425.27
FT-2020-30299;19/12/2020;6473.90;1424.26;7898.16
FT-2020-30426;05/11/2020;4655.31;1024.17;5679.48
FT-2020-30442;20/06/2020;8570.60;1885.53;10456.13
FT-2020-30491;16/05/2020;1078.68;237.31;1315.99
FT-2020-30651;09/11/2020;7319.13;1610.21;8929.34
FT-2020-30699;25/05/2020;5472.72;1204.00;6676.72
FT-2020-30719;14/06/2020;3969.83;873.36;4843.19
FT-2020-30759;01/11/2020;4569.80;1005.36;5575.16
FT-2020-30762;15/08/2020;3153.60;693.79;3847.39
FT-2020-30765;12/10/2020;5371.57;1181.75;6553.32
FT-2020-30783;17/12/2020;5131.50;1128.93;6260.43
FT-2020-30794;17/12/2020;10143.79;2231.63;12375.42
FT-2020-30855;25/12/2020;3075.39;676.59;3751.98
FT-2020-30874;31/08/2020;9363.88;2060.05;11423.93
FT-2020-30982;30/12/2020;5335.35;1173.78;6509.13
FT-2020-30986;04/01/2021;2829.74;622.54;3452.28
FT-2020-31175;18/09/2020;7215.08;1587.32;8802.40
FT-2020-31242;22/04/2020;7707.25;1695.60;9402.85
FT-2020-31275;03/05/2020;1439.78;316.75;1756.53
FT-2020-31277;23/08/2020;528.41;116.25;644.66
FT-2020-31371;27/10/2020;15174.00;3338.28;18512.28
FT-2020-31445;18/07/2020;12611.40;2774.51;15385.91
FT-2020-31541;21/09/2020;2728.66;600.31;3328.97
FT-2020-31551;03/10/2020;10436.67;2296.07;12732.74
FT-2020-31643;23/08/2020;1861.45;409.52;2270.97
FT-2020-31752;28/10/2020;7079.03;1557.39;8636.42
FT-2020-31855;19/06/2020;6784.64;1492.62;8277.26
FT-2020-31870;10/10/2020;2329.98;512.60;2842.58
FT-2020-31894;01/06/2020;5903.60;1298.79;7202.39
FT-2020-31916;30/07/2020;6506.49;1431.43;7937.92
FT-2020-31939;04/11/2020;7662.87;1685.83;9348.70
FT-2020-32049;14/12/2020;14187.14;3121.17;17308.31
FT-2020-32097;12/12/2020;6894.80;1516.86;8411.66
FT-2020-32113;13/11/2020;5386.54;1185.04;6571.58
FT-2020-32203;22/05/2020;12922.81;2843.02;15765.83
FT-2020-32213;21/12/2020;14504.50;3190.99;17695.49
FT-2020-32328;20/10/2020;14875.09;3272.52;18147.61
FT-2020-32378;26/12/2020;1665.70;366.45;2032.15
FT-2020-32600;26/07/2020;10377.70;2283.09;12660.79
FT-2020-32668;23/11/2020;10084.79;2218.65;12303.44
FT-2020-32744;01/11/2020;5299.37;1165.86;6465.23
FT-2020-32811;07/08/2020;4342.08;955.26;5297.34
FT-2020-32990;19/10/2020;696.76;153.29;850.05
FT-2020-33257;02/10/2020;8705.62;1915.24;10620.86
FT-2020-33267;21/08/2020;3246.28;714.18;3960.46
FT-2020-33296;07/10/2020;8991.85;1978.21;10970.06
FT-2020-33405;09/07/2020;2444.41;537.77;2982.18
FT-2020-33517;11/06/2020;5437.83;1196.32;6634.15
FT-2020-33677;11/07/2020;7690.92;1692.00;9382.92
FT-2020-33786;20/12/2020;11782.15;2592.07;14374.22
FT-2020-33981;20/10/2020;3986.24;876.97;4863.21
FT-2020-34023;26/07/2020;1748.06;384.57;2132.63
FT-2020-34025;13/06/2020;6006.59;1321.45;7328.04
FT-2020-34030;06/12/2020;5191.88;1142.21;6334.09
FT-2020-34052;21/04/2020;1584.78;348.65;1933.43
FT-2020-34077;20/05/2020;1408.86;309.95;1718.81
FT-2020-34084;20/12/2020;2291.74;504.18;2795.92
FT-2020-34327;12/10/2020;7173.49;1578.17;8751.66
FT-2020-34330;14/12/2020;7690.11;1691.82;9381.93
FT-2020-34388;16/09/2020;1237.27;272.20;1509.47
FT-2020-34391;08/12/2020;11139.87;2450.77;13590.64
FT-2020-34404;10/05/2020;4787.58;1053.27;5840.85
FT-2020-34460;09/12/2020;5942.49;1307.35;7249.84
FT-2020-34497;11/09/2020;3031.06;666.83;3697.89
FT-2020-34529;01/05/2020;10360.00;2279.20;12639.20
